bench,config,seed,W,H,cw,place_time_s,sys_place_core_s,sys_sta_s,route_wall_s,routed_ok,wl,cpd_ns,fmax_mhz,error
sha,full,9,35,35,54,0.0076,0.006,0.0013,0.7148768901824951,True,16325,13.7369,72.7965,
sha,vtr_bb,0,35,35,54,0.27,,,0.7151103019714355,True,14600,14.8105,67.5197,
sha,vtr_bb,1,35,35,54,0.26,,,0.7151079177856445,True,14395,14.7537,67.7796,
sha,vtr_bb,2,35,35,54,0.26,,,0.715162992477417,True,14430,14.4151,69.3715,
sha,vtr_bb,3,35,35,54,0.27,,,0.7150866985321045,True,14782,14.4682,69.1173,
sha,vtr_bb,4,35,35,54,0.23,,,0.7151072025299072,True,14852,14.4073,69.4092,
sha,vtr_bb,5,35,35,54,0.24,,,0.714970588684082,True,14257,14.8283,67.4387,
sha,vtr_bb,6,35,35,54,0.27,,,0.7150189876556396,True,14276,14.8328,67.4182,
sha,vtr_bb,7,35,35,54,0.28,,,0.7148804664611816,True,14453,15.356,65.1209,
sha,vtr_bb,8,35,35,54,0.27,,,0.7152364253997803,True,14638,16.1223,62.0259,
sha,vtr_bb,9,35,35,54,0.25,,,0.7153055667877197,True,14907,15.0268,66.5477,
spam_filter_data_1_4_2,full,0,35,35,70,0.0115,0.0089,0.002,1.4159669876098633,True,39721,5.61079,178.228,
spam_filter_data_1_4_2,full,1,35,35,70,0.0116,0.0091,0.0019,1.216137170791626,True,39720,5.59586,178.704,
spam_filter_data_1_4_2,full,2,35,35,70,0.0126,0.0099,0.002,1.26580810546875,True,39221,5.76457,173.473,
spam_filter_data_1_4_2,full,3,35,35,70,0.0112,0.0087,0.0019,1.26596999168396,True,40379,5.81248,172.044,
spam_filter_data_1_4_2,full,4,35,35,70,0.0118,0.0091,0.0021,1.2666208744049072,True,39659,5.6025,178.492,
spam_filter_data_1_4_2,full,5,35,35,70,0.0104,0.008,0.0018,1.2658445835113525,True,39629,5.73758,174.29,
spam_filter_data_1_4_2,full,6,35,35,70,0.0112,0.0087,0.0019,1.2157702445983887,True,39648,6.13199,163.079,
spam_filter_data_1_4_2,full,7,35,35,70,0.0117,0.0092,0.0018,1.2157118320465088,True,39311,5.88196,170.011,
spam_filter_data_1_4_2,full,8,35,35,70,0.0113,0.0086,0.002,1.215641975402832,True,39139,6.13497,163.0,
spam_filter_data_1_4_2,full,9,35,35,70,0.0121,0.0095,0.0019,1.265906572341919,True,40202,5.76182,173.556,
spam_filter_data_1_4_2,vtr_bb,0,35,35,70,0.62,,,1.2161805629730225,True,38267,5.8825,169.996,
spam_filter_data_1_4_2,vtr_bb,1,35,35,70,0.68,,,1.2160618305206299,True,37490,5.7483,173.964,
spam_filter_data_1_4_2,vtr_bb,2,35,35,70,0.64,,,1.216073751449585,True,37947,7.22706,138.369,
spam_filter_data_1_4_2,vtr_bb,3,35,35,70,0.62,,,1.217012882232666,True,38129,5.88914,169.804,
spam_filter_data_1_4_2,vtr_bb,4,35,35,70,0.62,,,1.2160120010375977,True,38595,6.03906,165.589,
spam_filter_data_1_4_2,vtr_bb,5,35,35,70,0.63,,,1.2158722877502441,True,38220,5.63736,177.388,
spam_filter_data_1_4_2,vtr_bb,6,35,35,70,0.62,,,1.2159574031829834,True,38110,6.30458,158.615,
spam_filter_data_1_4_2,vtr_bb,7,35,35,70,0.63,,,1.2158658504486084,True,37928,5.81714,171.906,
spam_filter_data_1_4_2,vtr_bb,8,35,35,70,0.65,,,1.2159268856048584,True,39109,5.74697,174.005,
spam_filter_data_1_4_2,vtr_bb,9,35,35,70,0.64,,,1.2163376808166504,True,38589,5.94026,168.343,
spam_filter_dotProduct_1,full,0,35,35,68,0.0125,0.0096,0.0024,1.466249942779541,True,38287,7.05267,141.79,
spam_filter_dotProduct_1,full,1,35,35,68,0.0124,0.0096,0.0022,1.2656488418579102,True,37971,6.89358,145.062,
spam_filter_dotProduct_1,full,2,35,35,68,0.0115,0.0086,0.0023,1.2657699584960938,True,39299,6.64662,150.452,
spam_filter_dotProduct_1,full,3,35,35,68,0.0119,0.0093,0.0021,1.2657814025878906,True,40215,6.91603,144.592,
spam_filter_dotProduct_1,full,4,35,35,68,0.0117,0.009,0.0021,1.265834093093872,True,39144,6.81558,146.723,
